bin,machine_gpu
0,252.4525230491741
1,252.9198980418382
2,253.2973121212204
3,253.50583361673196
4,253.99740004085115
5,255.009149306955
6,254.9081673246237
7,254.4068018516177
8,254.36593536429982
9,254.3918191745572
10,254.39771210810102
11,254.40794859402806
12,254.48723667858067
13,254.7343076749674
14,254.86508612108403
15,255.06892846354498
16,255.15627134664808
17,255.25955922688556
18,255.989614406557
19,256.22551176641485
20,255.55255374335266
21,255.47151655542828
22,255.52941501502278
23,255.94244509112926
24,256.33695704907836
25,256.682143989397
26,256.84948804987675
27,257.1714132820488
28,257.4738656267048
29,257.83965090319913
30,257.8403388456196
31,258.19882632543806
32,258.2496640562668
33,258.67430609609073
34,258.56602383714403
35,258.579067417074
36,258.7789836441735
37,259.15889963368096
38,259.49524598455423
39,259.2082590589139
40,258.90713073191023
41,258.6551876052411
42,258.39960600314834
43,258.17042169087205
44,258.0719516379818
45,258.0681411779903
46,258.6215427012741
47,259.1549910005771
48,259.4175161395477
49,260.051809613259
50,260.27457344687457
51,260.27161611785533
52,259.8742457024835
53,258.96565627450775
54,258.90882979926596
55,259.0441012290414
56,259.4686198342258
57,259.3883470818885
58,259.2831713454816
59,259.11148314096
60,259.09857291008257
61,259.12447453245335
62,259.67852311362947
63,259.99540084398393
64,260.0003781976251
65,260.21848497361896
66,260.23009577699014
67,260.67129433180907
68,260.7144102135478
69,261.1690355379915
70,261.0258008726612
71,260.89883695595177
72,261.2391803020428
73,261.20081290662375
74,261.22017404803773
75,261.1052454322868
76,261.1564527020491
77,261.20077664304057
78,261.2963875484564
79,261.40424138588554
80,261.3939016342319
81,261.5180684148938
82,261.5328875661244
83,261.5625748422691
84,261.73326491976803
85,262.383401758444
86,262.52393131726075
87,262.4806846735946
88,262.77408324748166
89,262.4357726673248
90,262.4174724521828
91,262.4794906988842
92,262.59037819503504
93,262.69408195336024
94,262.96779515729554
95,262.9640454929936
96,263.2495460578131
97,263.48163052675017
98,263.8028834772658
99,263.9900405426791
100,264.449735713283
101,264.4300902592185
102,264.5125717291341
103,264.5832840219231
104,264.5540098909895
105,264.5429780454572
106,264.6080515336752
107,264.8686543418405
108,264.8913630310695
109,264.97017850345765
110,265.17237403881313
111,265.6456881230691
112,265.5290721433505
113,265.4577006092572
114,265.48821972033636
115,265.80573089995767
116,265.805886573016
117,265.9435952494128
118,265.7900019411026
119,266.04612283379674
120,266.18495098847376
121,265.617576637331
122,265.6977467619151
123,265.9524026590953
124,266.02739126884416
125,266.26344519430563
126,266.34077710764257
127,266.77072189856534
128,267.02302451967273
129,267.3423894523159
130,267.5406082837064
131,267.75447212066075
132,268.02609399932226
133,268.31395933662935
134,268.52213661720083
135,268.79307299739685
136,269.0768338442428
137,268.5899349901678
138,268.61692224101995
139,268.6144084537457
140,268.73837849831506
141,268.9938824374227
142,269.19579050045735
143,269.7141345002424
144,269.6310059072461
145,269.78839674087106
146,270.07827254432306
147,270.3853415911016
148,270.72871957177546
149,270.7372115103704
150,270.8706681019129
151,270.92949501174405
152,270.8783103937573
153,270.70516225156035
154,270.77016121215286
155,270.6675711356734
156,270.64354357512747
157,270.6613438132306
158,270.89809223676764
159,270.99526162241955
160,271.3194981531491
161,271.4708890572337
162,271.61311882176335
163,271.56262468340566
164,271.71450515246096
165,272.00210800731446
166,272.36701979129856
167,272.35605316887603
168,272.5000493910892
169,272.73767526518793
170,272.9059297233599
171,272.8602057423402
172,272.65689066279293
173,272.6273883981624
174,272.6555592077741
175,272.6442439220447
176,272.3117083216426
177,273.02342558331713
178,273.2871757280294
179,273.7671094845356
180,273.85467960842016
181,273.95497299983913
182,273.9787699076295
183,273.97654822235955
184,274.26089030684693
185,274.33637258990024
186,274.372743739003
187,274.4351734018446
188,274.5011423509507
189,274.5552941666397
190,274.49940373624
191,274.54452512034453
192,274.60583929732934
193,274.7749686797181
194,274.9743813687272
195,275.2571802447567
196,275.38660917686894
197,275.57731346435
198,275.57952819067907
199,275.65043367257704
200,275.78793057810026
201,275.86577676834764
202,275.9895144601311
203,276.10684438133694
204,276.22656961674267
205,276.39487676009986
206,276.480900625025
207,276.58839008026416
208,276.6919501399186
209,276.9029989191143
210,277.10403114821827
211,277.1834279796045
212,277.28511591704194
213,277.38268902298165
214,277.45476213173055
215,277.53911846883165
216,277.5508710080957
217,277.6426361193962
218,277.6792159238994
219,277.65211951569574
220,277.66316324674085
221,277.5715266515231
222,277.5000674045022
223,277.4323752112899
224,277.31593771608897
225,277.3905073662893
226,277.52662329696403
227,277.9368097356454
228,278.1287224202512
229,278.16134792934923
230,278.165075215035
231,278.16325719654935
232,278.226222264625
233,278.27892667073155
234,278.3595751200791
235,278.62378859667854
236,278.73466353841997
237,279.06590513284937
238,279.2253202763898
239,279.2530323364133
240,279.4609021910977
241,279.44617404330774
242,279.4338899310582
243,279.4961358651362
244,279.52718456249244
245,279.5022581221655
246,279.4725072183689
247,279.3317835817539
248,279.17856576300653
249,279.15376354805665
250,279.0192031493762
251,278.96135263502066
252,279.0796277109442
253,279.01953859119743
254,278.9241577005742
255,278.87180665903463
256,278.7966590500756
257,279.1888160994416
258,279.30920824623774
259,279.1385633837624
260,278.865211336098
261,278.67949095795893
262,278.4651255425957
263,278.75591163952004
264,279.0334768473793
265,279.05576233202675
266,278.7883383904809
267,278.7132740603438
268,278.5354038307702
269,278.00605948628885
270,277.01599283180764
271,277.4103559542487
272,277.61268328679955
273,277.50903537594473
274,277.30900744735686
275,277.24733710014686
276,276.99336157671854
277,276.24893760866075
278,275.91063414288425
279,276.79023473317693
280,276.96510844113146
281,276.9196680386397
282,276.9553308100753
283,277.22429654244905
284,277.3290076450046
285,277.34711693451726
286,277.40096467243677
287,277.28226869947736
