hour,avg_cpu
0,11.32060535121586
1,11.43471074462998
2,11.22714976157538
3,11.163634258093255
4,11.494994407809035
5,11.530252855179521
6,11.440122932156882
7,11.367246080569466
8,11.22332041827777
9,11.085232047330493
10,11.403654963045861
11,11.96327925488149
12,12.235560975090204
13,12.357180680980013
14,12.37948395761833
15,12.125235180036587
16,12.556589833483043
17,12.163874565120434
18,11.938773599477228
19,11.692383350443286
20,11.582757740903713
21,11.283351259671093
22,10.82856845609535
23,10.863906374033482
24,11.347668392149187
25,10.619834622677086
26,10.373396388230038
