interval_10m,avg_cpu
0,11.139391062840025
1,11.16409450765511
2,11.236680864424853
3,11.078516088718011
4,11.670144680825421
5,11.635190389525608
6,11.518977659477606
7,11.486697773349395
8,11.231888463512337
9,11.354466208831097
10,11.475689034949122
11,11.540521047992815
12,11.271414460726428
13,11.1739552803582
14,11.222835813326236
15,11.00937766619282
16,11.240428421650565
17,11.44481177416806
18,11.181332841194987
19,11.04655628754334
20,11.16707317662967
21,11.031557860829986
22,11.318847337744131
23,11.23641835031163
24,11.146948686861212
25,11.267648886217303
26,11.367290622571765
27,11.714717958419918
28,11.609331764519567
29,11.863988589324384
30,11.401377696197752
31,11.46561167218492
32,11.529113720491964
33,11.483114873253891
34,11.662399387061784
35,11.639875880713634
36,11.511862969019324
37,11.201647430815854
38,11.39208275406273
39,11.273015340320335
40,11.596779373777215
41,11.665079046837674
42,11.49925292070878
43,11.405412496230307
44,11.317590741829633
45,11.059464549682218
46,11.573107481232626
47,11.348720592253722
48,11.188055456993443
49,11.175664561202323
50,11.200963892576825
51,11.135570528228767
52,11.334049800845207
53,11.305607585030994
54,11.186325335222124
55,10.916458004824179
56,11.093228347440299
57,10.97262518526219
58,11.15535349967173
59,11.187406695222064
60,11.148611873840382
61,10.991437402733759
62,11.459187493652152
63,11.332179684549622
64,11.643967871489174
65,11.846393151178425
66,11.699070618741533
67,11.621280622605571
68,11.89875168347599
69,11.958570591770833
70,12.172380064015655
71,12.429573126480186
72,12.030523525964844
73,12.17881929540199
74,12.252126410103115
75,12.005684908335388
76,12.38665147211308
77,12.559610700406962
78,12.207717244757808
79,12.30830807067373
80,12.489483404072471
81,12.284798388736036
82,12.509796505257823
83,12.343030654045714
84,12.217541605094866
85,12.342778191130018
86,12.5075318954794
87,12.310079981728586
88,12.415750078440754
89,12.483232648039795
90,12.33013391764363
91,12.266182206587938
92,12.086647542914891
93,12.044722836495254
94,11.84672404436572
95,12.177189714409632
96,12.303990537699647
97,12.167314867245343
98,12.691856940131819
99,12.533031121199523
100,12.766779862104958
101,12.889730961423945
102,12.533164123170355
103,12.142692728298837
104,12.194557195547137
105,11.948654960927067
106,12.084826393215488
107,12.082765003259487
108,11.811384755990824
109,11.904347481198021
110,12.012013350821931
111,11.825603439704556
112,12.017927565271158
113,12.06165147287936
114,11.724385274746373
115,11.59743216125132
116,11.902582605047497
117,11.464706313505214
118,11.745764372449294
119,11.719624020558454
120,11.390440274746835
121,11.481575336689554
122,11.786612956653777
123,11.598666164238217
124,11.573292533158751
125,11.670007420143405
126,11.42958263272152
127,11.34554643209014
128,11.308213781202367
129,11.306161346611196
130,11.211247167919026
131,11.102050334991347
132,10.945775463315561
133,10.777998424707915
134,10.775387941221574
135,10.505851996407584
136,10.80335812842106
137,11.163459882176129
138,11.134472042320331
139,10.907110949664796
140,10.754274320044326
141,10.715042191590246
142,10.91674560223044
143,10.75682400395217
