Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
BXKyXUPIEgDB0HVJfMkb3YIdL6v9hUXj6tcp5WXuCL7gKN9bumEZ47s5k4xktdDL,Z+fOq/jyRAEnXInrYS352O6WSMtlse49JtNfCu4yrXhFOtAw+Com8coMLjYWnGPb,8MRf9Uxc82q25puvRdBPuQwk/TIAzKk6XAaXMxY8MuAbsixy8bKqULEDfB+v+9LoIzdRVVqar/erb9nOnoiRRw==,0,2591400,99.3924886399616,26.2837126199552,98.9346243314857,Interactive,4,8
sco7N1onLcoNSLd7KfQMK9A6TMbECUAb3VgAo8Z4wiR53/5I3LZBP/E8mG0dw80K,vUfKT6PkdN/hNZnSFz357un3ICT2hxtbhsAE5dgay0i0Wu3DttO3PRLpE6PiRGHV,m61bZADAN3neOFlBQ/8xb7lKHzgCf1PcSP6a6s7g4Pdox0Ni4LWu5Jg8Edvo2iPQXbdbOLnfimlYFubnzBs52g==,0,2591400,97.1576223874307,20.4359628487708,58.8938768583058,Interactive,4,32
Rv7urX4OP7PiLIOaUT/cPkwaDfTJJHb7gy16fURAYBSIcK6oIIpmGVP1mOdCQ9vN,vUfKT6PkdN/hNZnSFz357un3ICT2hxtbhsAE5dgay0i0Wu3DttO3PRLpE6PiRGHV,m61bZADAN3neOFlBQ/8xb7lKHzgCf1PcSP6a6s7g4Pdox0Ni4LWu5Jg8Edvo2iPQXbdbOLnfimlYFubnzBs52g==,0,2591400,97.4636869331054,19.9155489293162,56.8943141075073,Interactive,4,32
TGPFLxPh+pV6yg6B0XXcFBA2x6uz4zMZ+0VnxNoczw35N8P6sr3JmUUe7L6voGc2,ucrQH4nDMOaGS8Y6HeFM31myucS+6v7OkFAv/N7GquE5EpjPX7HHYFNXgfPihHeD,Y3/LBu0MMUVJ1T74bvU2DEgvrzCdJXmXMTtkcfJyQokSn7HG/OuuwRzYlLYkgD0Dgj2LXTgFylhuSfwMH/cokg==,0,2591400,5.28751907975751,0.141439492580853,2.64462346886912,Interactive,4,32
SVIFKsPA+W1GkXi5Ug4ovPMHf/N+kGW2ZuKvdHje0LL5m+9XEXSvSur+QHMzCTjq,R6605jOMwk2TGZX3Lmeu9uz3w3tpoyVIf8xDfMLJ9loextBDEFLTrdboA7x9rp6o,ocNiPNu2Rxd3zSEHhxHr7yQxfApi/LfQ7Q6hx2GW2w4JkraitMtxsjGQnPNeu6IdIRJBcNkHFVBl8ZXNVZlxFQ==,0,2591400,72.2719900813061,20.7785636756156,43.712837076569,Interactive,4,32
WwGSGAks0X5hl+tG55sD5mvKXjC6AEWWi08R8Q+R1I2Pix8CkjLqG2eEcYOHbkqe,vUfKT6PkdN/hNZnSFz357un3ICT2hxtbhsAE5dgay0i0Wu3DttO3PRLpE6PiRGHV,m61bZADAN3neOFlBQ/8xb7lKHzgCf1PcSP6a6s7g4Pdox0Ni4LWu5Jg8Edvo2iPQXbdbOLnfimlYFubnzBs52g==,0,2591400,98.0323135877632,20.7780357316782,60.0492060944796,Interactive,4,32
sFPFobhMHp7T81A/NnRAYZGh8okhgiydOL01arQiLnPHJjZZI7nTgBOIYhTyYAOp,w9P7uwCwD5THsNmE+i1H+euOtSogzKtRCaMK5TI1V7RqJtoRSvoAfZBX5xF4pol0,zHynsCzuF+IOUUAW9P/xHFJxlynkxS+p8Ei01lEGRIfGFKuLruGbdJfvwf5RTwVsCYLfm3hmWOCT8cb3snum2g==,0,2591400,88.5851467742417,1.0373609858933,9.10380770171679,Interactive,4,8
QlvcXzMQCt3Q4eu0WECayax7XSNQ46kCKg//QwcPyCx2Ewy0eP15DKatHnj4zv3Z,wK3HZ7Sda+ljDTUaYpmiqDJfaE5ezwXiSUMRL3WMvS7Q6gBl58nTAVnTX7uB4kbu,UVr0gbS9in1ooMlsuuiSyLrdbUC/QsvwzEmtsXb6txFE8CQfaMKvuI/6JKuWCOvm24nQcXCMR+JCditoVbqixQ==,0,2591400,98.1966012996141,39.0260867982581,97.6332986333371,Interactive,4,32
g4EBy/kSE6l25huIU00b84jze8fFyewVexweCRd+BbAGL+pDIglH548rT3hlCBbR,gNTywt/gU0p2e8NQUaXzG1l0zkrjjO2OzdC/IMuEyxJqKbOWGZdhGIKZWkZ8jSat,7K9SxfSqGHuy6XL5bAAwvHdcScxsUrN0PNIvaBQDbHLP0iNH3rE9xGVgSOTIcIVkX4vmnRDkXX1Zc+hnNGtZQA==,0,2591400,63.2564430293039,7.24736244314888,43.4091303687333,Interactive,4,32
ILvrrfsWvpJbHFLUClEv5lFninMYwywLiXe3fVY54LeSSQyb3cdFVhBx3SkNZlqB,n8Ldla0D1NUlo2lJEyFyRW6BSymCuVM6Kl95odF5BKBOCqm2AbwnkcwT7ROchPNT,ac4P734ZkbxCZ22oZKhKWCpXNkV0QN3Bu536bZy0MOe38Y2YkJaVWdQ70Jn7qus5KK+ZlVfzixX/QYL4VVpRrQ==,0,2591400,78.8019920220571,15.900205730214,50.3850781718409,Interactive,4,32
b8zvD3X+CDmwDQTxsPtbt4BDyDTD6NKymnFo7f/JRm6ehRUxguALOS/N4yDpEQJ7,1WfZjuwNwiIBI7l8YNvl9aumxYJ4k6w77mp9HAXnlMZ7ggEKCu27VVX0j8u8sN1U,K8lAQjGTDJ2gvxuTHVAgUCBO2avCPOjvACbJDpl+XGEeuXgAJUoPPUV6inyMAD0gPlgt+4Z0HqwEXF8NleXF/w==,0,2591400,2.76916800082012,0.814869991859436,1.14994903167379,Interactive,4,32
SnLDW0rZaT38sqKGnluCITGa6vIoEX591WeHHvbTdCng/JJ+QwGXCeTXmdk6kec+,0XnZZ8sMN5HY+Yg+0dykYB5oenlgsrCpzpgFSvn/MX42Ze0b32RJCLF6y9U3ybXe,7aCQS6fPUw9rwCPiqvghk/WCEbMV3KgNJjA+sssdfY5YblgbsnkEE5Bm386vynr+qfWP3U5lluWYHd55SWnpuA==,0,2591400,98.5279693945085,9.32131807570728,76.0977219194235,Interactive,4,32
WEqSf9ADcypRy4oyKBwhAE7eros2L9m/8A3y9bwXUQzxpy/iHohyDk49LH08PzoM,gNTywt/gU0p2e8NQUaXzG1l0zkrjjO2OzdC/IMuEyxJqKbOWGZdhGIKZWkZ8jSat,7K9SxfSqGHuy6XL5bAAwvHdcScxsUrN0PNIvaBQDbHLP0iNH3rE9xGVgSOTIcIVkX4vmnRDkXX1Zc+hnNGtZQA==,0,2591400,43.8997426080408,6.43989423766222,26.3030921384793,Interactive,4,8
ZY/Hb7pRPySkIQR2W2VuItBm8HcyDfWAk20Ut24pK+WTc1+IK0Nm4cA+pRdyrDIe,Od+648kXhgKnQXJ5kd1D/qV2ZArdlHso2obf1ao5awu1d9QPN3ogrZIso67aoPzu,bOpL1j/heogv9zmaqHpuqvzLP0G+95TJhpmsChjeMy/3eJc31fMflzKEOcHVKMk4KvdMw9TFX2DPKYRsv+dYpQ==,0,2591400,98.6798268819311,8.22596679823297,89.0247426845029,Interactive,4,32
Zgp8f0serHXMM6TYLfaMay0Ma9QmOfbIoy6+djeHf9Rv6aW0MTDA+Ufgf/On6VNO,Z+fOq/jyRAEnXInrYS352O6WSMtlse49JtNfCu4yrXhFOtAw+Com8coMLjYWnGPb,8MRf9Uxc82q25puvRdBPuQwk/TIAzKk6XAaXMxY8MuAbsixy8bKqULEDfB+v+9LoIzdRVVqar/erb9nOnoiRRw==,0,2591400,99.4683298718603,26.0372617729828,99.0038182846465,Interactive,4,8
sWCR2SDlvQwRJ2BGyiJRjcs8M5XdHj+WuEBezR7QEoCDl0cCYBJrnznEGNXXq2+i,Od+648kXhgKnQXJ5kd1D/qV2ZArdlHso2obf1ao5awu1d9QPN3ogrZIso67aoPzu,bOpL1j/heogv9zmaqHpuqvzLP0G+95TJhpmsChjeMy/3eJc31fMflzKEOcHVKMk4KvdMw9TFX2DPKYRsv+dYpQ==,0,2591400,97.7978195510643,4.46469177511644,97.1373634925551,Interactive,4,32
wwvySLcTYFybps+lbsbLUTA0RBMaKsIE75wASb6UQnDlgl4sBWW3waMLhukX1sA+,oTJs0Ud/7SJBanclzbry+EPmhOKeq5xW0g3nJ8DpB1MPkTyRkJlpPEM9CHUudc8z,UnFr6qay5F76gd08OHyJogF6ldf5gR05mE4NTuit4ULB/J8FxGyVXZdPgfP6Dg6PyVIr6wEhVCHkL5auqW7OVg==,0,2591400,97.5046399976851,54.6177152471092,85.9525865220421,Interactive,4,8
isjVoKmPMf/RSQRsyb2rGLdIPLWorr1vGLRkcl562SgfRtVab3sz7EGT8bzPz3y7,wQTT/hD1t1W2WEXR4H2IXqd9KnHFXsRIgTW/OJNeWXU15gtteM1x+7+Eq4HoMY/V,0Sasahy35wFSGFBpD9QSvGnnIkyZDrQQ/zWqXqGnBfWQPgW9dwim3GdC/46cWVJiooEl957vj22D4778n6AOnQ==,0,2591400,89.0816463295103,1.2616658123763,9.24211618215915,Interactive,4,8
PrT18s2tvbZ9695zScf6LiEvoNS3IMnT1OILXPLZoIMtfKWHLSMr0bGBYx3eTIMo,n9rCdnEyNMReeWA4+KEZuJWwn6YLoTBiz6v/Z+cWVxdDURLBqf8diX4aRNMuYazR,Se41C1Apvoz72xJiNtL1+sunMEwoD2ImamuYT1vi+x4mKj76VYCZP2zxPlZb+JIihZCi6iUFNmlq/DNy7jBBdQ==,0,2591400,55.1362688263009,4.44033877790715,28.9702507768504,Interactive,4,8
Hspp7cvyblROuz5BQt1UFVSkiav3tQGdprJ061mH7pxlWPb4gqP/PrIl1bbRIE6Z,DlPXqcNM45q7w4qZujXjvFnkXFCTrS0O/PGdwsT9unmdT1p4at3xJmqrgjjeBc4w,VVZawk6p+Izk3YmOZMhODH7RLlE2uhzSf30kzP1KXM1kGJoC7w0ZNFpiTHTCR5722sN24CKvv50Q5oQrZcINbg==,0,2591400,91.6807887712595,1.82986073140975,10.5345064986733,Interactive,4,8
E0o00rj6/1+4Fdp5l3OXI0RzExztGd4c9pF1JjOr71ZMUPEL8P3k10uS99/2J/iS,Od+648kXhgKnQXJ5kd1D/qV2ZArdlHso2obf1ao5awu1d9QPN3ogrZIso67aoPzu,bOpL1j/heogv9zmaqHpuqvzLP0G+95TJhpmsChjeMy/3eJc31fMflzKEOcHVKMk4KvdMw9TFX2DPKYRsv+dYpQ==,0,2591400,99.2504968841423,8.3017737774784,98.8727202459813,Interactive,4,32
43/MQXBQ/V99Mj13iZt0Jh498rAt0qXO7B5dSGZiCsTZEQWHdjT4ypWhV2YVaVOZ,4YS4PerztPa7Vmmxjv4d7ddcTG4sHwm7Jdz1oEFkp6z+6NWRtrke07OosB0qvgVF,YH4b78EGYU/aJSeqDFd8Nc1vWNHl/LXBIBATTa+tV3WF/2hX3G2g4vw+CRX8WAiEthZZ1wo8QdRt6DczbkckSg==,0,2591400,53.4650995854487,10.239775521106,32.7646896828105,Interactive,4,8
ceOf9iviWnLaoYC9Xx/b45+yyrfl9hUENQMiQ0j2eCanpYPofPVQPEEAuTeIhOcT,Od+648kXhgKnQXJ5kd1D/qV2ZArdlHso2obf1ao5awu1d9QPN3ogrZIso67aoPzu,bOpL1j/heogv9zmaqHpuqvzLP0G+95TJhpmsChjeMy/3eJc31fMflzKEOcHVKMk4KvdMw9TFX2DPKYRsv+dYpQ==,0,2591400,98.4057625158997,9.12780922044163,77.3341186339799,Interactive,4,32
HmPx6ITLKzIVy/ECxRIV7BbmQz3LG5mQvCDC7i7vjL0vxSf+6YoyWwO1ALahzQz7,CJucjYixoA4XPt1CyMGwfr04m2Ba15gYWUPAaC3HxfxO8Xde08jalcpER59cuaEp,MJkgUtdD9j+REh3AehSC2jD7B/G+3IkdcF3hdIyplrba7Gy5OvM1GyMdYrREfJ/+W/S1vyHiUzqcWjiNmLmXcg==,0,2591400,45.7552501047554,1.22607750361822,16.142852364494,Interactive,4,32
D81kEfoF9guPG0FDT9BGEfgBZPt0W0wMIXWja73VNvNWg7NNpx8+Bc1n8eeLqYa3,0zGIuCDz0npLkwgdABfNMqpTfFgMb8hVYR0oygzTOTdX2fzfcUwmYLmKLGoUz1NL,VyXLD5jlBb+hf2y3cYbCc4I3biqQAMS9N7iBUWJJGRjgFRMUy8xAW9yWavbqD12lhxQyGgxudRrPuHE8Suf91g==,0,2591400,94.1678531455271,29.6830253370717,57.0779935170397,Interactive,4,8
jq+UGhQRppmklhzTYBo3LSkFw+5CidV2vpQb5JPJf+DZVnsmUke99gqHaThYZr7r,pTTecK0wkjQwlNn7rPby3G8F1jHOf/yxa/dRobYfFLyqb4LpvY13L6OBfZ/hi6YC,mVJHjn2dUNyOn1y7k4J0eO1wn/Xo4iYaACuPkHeA0CqxVgrwG14qhP6DvYkXgmReqBqUM53jqabetA4ywv+vRA==,0,2591400,99.0527207927632,6.14373164948845,38.5622893173835,Interactive,4,8
X/ciFBOrBnlCtgA2EWvgeUSkX5gtEqNrq6/BEvEibF9fJvXSp7hd68GewbfpdJ/T,aqBza9dtilmUOac9AxfcMsBV5Lmd2zNQVugidTl2tDtlq2jHsF2zWap2crNEmAyj,o96VHOMinosOI3iihkhYd1hPWZswgnxSdy87SJyWXYRYgNc3Kk5qLPcgjgvSdopjs3mZk2VH74Y1XBCtmAHrvA==,0,2591400,80.2540842570427,5.73427962217778,27.9185379605089,Interactive,4,8
