interval_5m,avg_cpu
0,11.179227298477931
1,11.099543997171867
2,11.351438684784469
3,10.9766993707183
4,10.958694801552848
5,11.514756768004368
6,11.095618301187613
7,11.061413585320238
8,11.424497658292214
9,11.915820954513816
10,11.680671852561542
11,11.589725946258117
12,11.42842820865531
13,11.60953789311391
14,11.562417613977642
15,11.410972780484862
16,11.07965911717947
17,11.384073790473074
18,11.49287873031811
19,11.216063102681499
20,11.226012440164036
21,11.725374121557715
22,11.585600817096836
23,11.49544511246328
24,11.269477905376725
25,11.273351016076132
26,11.133994641474414
27,11.21391252111289
28,10.987113627303257
29,11.45857403759967
30,11.033197684431096
31,10.985560889048957
32,11.018068562668791
33,11.462773157969142
34,11.46231133915214
35,11.427311316516029
36,11.241813533411046
37,11.120856263171792
38,11.147039885266533
39,10.946084650932686
40,10.96471034479629
41,11.369539286421523
42,11.128109233079043
43,10.935016342605213
44,11.214237900649827
45,11.423451437531488
46,11.248980615761418
47,11.22385651214252
48,10.985364232781036
49,11.30855237718592
50,11.467557214019758
51,11.067743958447636
52,11.031040869847049
53,11.703517503497498
54,11.686300994251871
55,11.743134439404871
56,11.476376517977583
57,11.742273445583889
58,11.891949159898898
59,11.836026592165886
60,11.289521613894719
61,11.513233778500789
62,11.360782927053329
63,11.57043863457536
64,11.327794115939207
65,11.730436748672844
66,11.45033390057023
67,11.515897518350831
68,11.720452978337999
69,11.604351718815558
70,11.54518924469353
71,11.734556076999247
72,11.609927580047646
73,11.413796690565798
74,11.171722479090382
75,11.231587677165441
76,11.134684957344662
77,11.649498090963542
78,11.240670719844358
79,11.305356104343524
80,11.458853497932962
81,11.734700552193642
82,11.685418146536325
83,11.644746525338288
84,11.490170278948456
85,11.508334944192235
86,11.496605262553203
87,11.31423679326098
88,11.113490587600129
89,11.521670067741672
90,11.232564229747434
91,10.886382532248891
92,11.60690725984045
93,11.539308852140291
94,11.321832944715938
95,11.375605496573883
96,11.202184582936757
97,11.17392512973685
98,11.231307524598098
99,11.120022544051082
100,10.96672680052265
101,11.435197001548897
102,11.148293886264954
103,11.122846737476813
104,11.218747823533377
105,11.449347857121285
106,11.286227116583072
