disk_uid,disk_capacity,disk_attr,disk_type,user_type,vm_cpu,vm_memory
abf48a08-8607-4311-926b-094b3493eb07,100,1,0,1,32,64
207bff00-cd9c-43dc-a3cf-5b273fe61a2e,20,1,0,0,1,2
cf32bd6b-33cb-4d53-9ccd-f90707b2aa74,20,1,0,1,8,16
ea3e2959-9b68-48a1-a019-49a785c8aec3,20,1,0,1,8,16
ae3234dc-dc63-422c-813d-75b049bd8114,50,1,0,1,8,64
fc04a1dd-edb1-4eb6-a7b1-e034d46b8917,50,1,0,1,8,64
64966aa5-b6b5-4a63-a8b4-ef7aa063f540,10,1,0,0,1,2
7c8b9549-03bd-4103-a095-efc84c488b99,100,1,0,1,32,64
0ca58a05-a456-49a0-abde-72081f2f1bc6,100,1,0,1,32,64
1f130da3-5867-4b07-9ded-871364f98c12,100,1,0,1,32,64
2150c1f9-3a3e-461f-a6e9-c93950d3ddfd,100,1,0,1,32,64
2e502503-6df9-42c3-95dc-f89626a5d0a9,100,1,0,1,32,64
433e4c39-7977-434e-8ae2-04fae762744f,100,1,0,1,32,64
c73e2251-3889-40d1-8050-9090b295d5cf,100,1,0,1,32,64
fc4eee65-fbfc-479a-9f42-f93261ba94b1,100,1,0,1,32,64
c5ddfef6-b57a-44dc-8dc2-14d6aa100224,100,1,0,1,2,4
71aa0502-b824-41d3-a2ea-0b834069dfe9,100,1,0,1,32,64
933773f6-52cb-421b-aacc-a0ca73f8a74a,50,1,0,0,2,8
0dd4705e-85e8-4419-9efe-ed7ed3963c8e,30,1,0,1,8,64
4785a542-20cb-4d4d-bf54-ac86d9dbd317,30,1,0,0,2,4
6640ff65-4d0f-44c5-aa31-aca6be32a4e8,30,1,0,1,8,64
18d71341-923c-4884-98cf-0eef73f1b727,30,1,0,1,8,32
d1092308-9c52-44da-82ef-9a56caff3fed,30,1,0,1,8,16
0f82468a-07c7-45dc-a1bf-086cc63c825d,100,1,0,0,4,8
5b3ec298-400f-47f0-871a-37b2f17f4b97,100,1,0,1,32,64
819edd3b-a9c7-47c6-a2a9-bb6adc3f6207,20,1,0,0,2,4
9c54d948-1506-467a-a5b8-733171a57f54,100,1,0,1,32,64
4868869d-3a8b-4996-a65e-0241e0651d31,20,1,0,0,1,2
2ac54ddf-f590-4397-84c7-2c86bc14cc81,100,1,0,0,16,32
771e319c-b84c-4162-97be-1ee824d5bca1,100,1,0,0,16,32
d0bf0493-627a-4674-b03d-e8158498cb8f,100,1,0,0,16,32
0530b7e3-0e29-4619-9c95-d17996565a4d,100,1,0,1,32,64
