disk_uid,disk_capacity,disk_attr,disk_type,user_type,vm_cpu,vm_memory
a043e6c8-fdd5-4fc4-87d7-9ff6494767bc,50,1,1,0,2,4
2fffec5a-e155-41aa-8a84-6587b0962f63,50,1,1,1,8,16
f27d341a-2929-45f4-b627-d97f55c86c0d,50,1,1,0,1,2
4c536c0f-6651-4f97-9f0c-29631580b1d4,50,1,1,0,1,2
c1a86867-f575-429d-b959-aecc971d7810,50,1,1,0,16,32
2453cde3-892f-4b86-8d0c-ea6b605fe70a,50,1,1,1,4,16
6c414c9d-734f-48d6-9576-a090b6c80fe9,50,1,1,1,2,4
0a89109b-b743-45d5-9ed3-9f995f470ba8,50,1,1,1,4,8
ed8d220f-31a7-4090-a65d-3310693cc373,100,1,0,1,8,16
790afeb1-976d-4dbe-8307-64fc97d9fde2,50,1,1,0,1,1
a6097091-d055-47e8-a7c0-0ecab81941cc,50,1,1,0,2,4
0b507a0e-dc88-4f51-afb3-11f0a7e75ee9,200,1,0,1,8,16
bc9a9190-e735-40fa-beef-1dcfe23094cc,50,1,0,1,4,16
c2dfb7f0-6639-421e-8425-759b9d48809c,90,1,1,0,4,16
13e50309-0459-439f-b154-4458144b391c,50,1,1,0,1,2
2b7ee4b2-aa3a-4019-8428-4aec479fbb1b,50,1,1,0,1,1
70e983f4-50dd-4459-81b6-366888a471e8,50,1,1,0,1,1
d269ae54-e41b-4174-96b6-043346a0d57f,50,1,1,0,2,4
ac00aa81-1e75-4808-bc0e-1a389f65f05e,50,1,1,0,1,1
489b33e2-0e03-40a9-a1b7-75f46c0427f3,50,1,1,0,2,4
c3066c60-fb79-48a9-a4a4-827cfd46f12b,50,1,0,1,8,64
b7a5eff5-38ab-41a6-8795-6e707558a98a,50,1,0,1,8,64
413a4d6d-c2a1-4b6e-a067-cf1bd33cd194,50,1,1,0,2,4
6d7aeeb7-d06f-41bd-a016-05362378b6aa,50,1,1,0,2,4
46795af3-741e-4ccd-b8af-8efbb2f743db,50,1,1,0,1,1
20d4558b-c64a-40ca-b862-151cc45c7c4e,50,1,1,0,2,4
946feffe-c130-439c-b838-014ad15e4461,50,1,1,0,1,2
cb25a3dd-45f9-40ba-837e-6629374c74e5,100,1,0,1,16,32
7e534216-24d6-4380-9bfe-8bccd364e373,30,1,0,1,8,32
c4ad4260-7dd3-4039-9d23-45b98ed8922e,30,1,0,1,8,32
0493d234-2150-46dc-a185-98911f15b5d9,50,1,1,0,1,1
9a7effb6-6540-473d-bdeb-af30443678b8,50,1,1,0,2,4
2af092e8-66b8-43ae-a161-b2f9010a5786,50,1,1,0,1,1
1a5cf1e4-7570-430c-9c76-f5b784243fcd,50,1,1,0,2,4
cb4c7f6b-370b-41b7-be0f-06a857b5d691,50,1,1,0,1,2
a38b9d10-78ab-44f5-b40d-0c85dbcf5180,100,1,0,1,16,32
c2a7e351-bc57-4607-a356-0b6123c17bd5,100,1,0,1,16,32
d9087301-d99d-4e5b-85d8-2e7e7a26f69a,50,1,1,0,2,8
5521c5ea-57de-4e55-8dd5-03f63bc37894,50,1,1,0,4,8
ba6b10ac-ecbe-4795-92c4-9b44facdd222,50,1,1,0,1,1
45dcaba1-5379-4ace-ad54-ddeaea70e844,50,1,1,0,1,1
b88efd1e-f2f6-4bac-a5d1-682e303e3774,50,1,1,0,2,4
b4391a0b-2ea4-498c-8872-2180db14c929,50,1,1,0,1,1
2a95b41c-61ad-49de-99f8-4fabf8683ca3,50,1,1,0,1,2
6dbf3f57-015e-4d83-8394-54c9c1960d5f,50,1,1,0,2,4
dfa6a7e1-1685-4f30-915c-450226f45d0c,50,1,1,0,1,1
0201b94f-8ad9-4fa2-a26a-31823ec34ed9,50,1,1,0,1,1
abcaa286-5567-4f22-8c73-bf0447219eb2,60,1,0,0,2,4
d57f2dc7-14d4-4891-8723-9b8f91f1267b,50,1,1,0,1,2
364865f6-1925-4f2b-add3-f77d48c7db4b,50,1,0,0,2,4
8a3a5c70-f9fa-4ecf-9e8c-bc7d436f698c,50,1,1,0,1,1
133f4deb-46c9-467f-9302-e55379c4da62,50,1,1,0,1,2
c01efce7-17bd-42c0-9a26-fe01f401d417,50,1,1,0,1,2
b61a8e5b-1eee-4ce5-bbb3-7d4061033710,50,1,1,0,1,2
9e48ce00-fe37-413a-8ae6-1b10efab1ec6,50,1,1,0,1,2
10ab81f6-52f7-4473-af4e-f1233e3cf306,50,1,1,0,1,2
4a7549ee-1f93-4526-bda0-8c7f864d0846,50,1,1,0,1,1
6a139b3f-27a7-4477-a341-9700332dce2f,50,1,1,0,1,2
4b55e0d7-d686-4ecf-86bc-4dc0b1487153,50,1,1,0,1,2
0b3dd1ea-9b2b-4f9d-9197-7a31344953f1,50,1,1,0,2,4
9e811291-c9af-4688-996c-4cadf0bf279b,50,1,1,0,1,1
5b410df8-cf8b-4b77-afdd-6273a5fcbc6f,50,1,1,0,1,2
7f8aaa39-53d5-4682-b6fa-a0bf74c2db0f,50,1,1,0,1,2
79e5afdf-46a6-47a8-8467-4a82373e3033,50,1,1,0,1,1
a272f194-a8cf-4fae-a868-bf961e93a3fc,50,1,1,0,1,1
7e2c1abc-0c79-4669-a5a4-2162547db9c0,50,1,1,0,1,2
61f21409-b890-4234-b8cb-3e9a96306c5c,50,1,1,0,1,1
44ba187e-834f-4dcb-a380-19402da10eed,50,1,1,0,1,1
83ff244e-fcb1-4289-b83e-0ef4deddec56,50,1,1,0,1,2
0d921f16-0aef-4e40-8ee2-7fef77d1dbbf,50,1,1,0,1,2
c85e2f5f-6950-4669-9e88-874314325ce8,50,1,1,0,1,2
c2a61be0-b7d2-4fe2-ac10-a0b82cf5155d,50,1,1,0,1,2
04acc503-3f85-4007-b561-27b01d6c506d,50,1,1,0,1,2
7c244c12-63c5-45be-86db-9c14420eadf4,50,1,1,0,1,1
f0036e58-895b-4574-a3f1-8216ac402738,50,1,1,0,1,1
8b41fffa-9370-484c-8355-42e6c360d919,50,1,1,0,1,1
6245fd37-862d-458c-bde2-e335796f2178,50,1,1,0,1,2
6a87251c-cf42-4b30-8ffb-6d8dec825cf8,50,1,1,0,1,2
0037dec2-e85d-428d-bf9b-050172ef7b70,50,1,1,0,1,1
baedfb53-1742-4013-b280-dd8cf72f94f1,50,1,1,0,1,2
ee50b699-a7a8-4b33-b972-f7449c8cd5ee,50,1,1,0,1,2
94813fcb-1f51-4d23-a8e6-a4a4ad66946c,50,1,1,0,1,1
e445559d-6158-49b9-bdf6-108588034689,50,1,1,0,1,2
3ff41ce5-2092-47aa-8326-0a6f48bf57cd,50,1,1,0,1,1
1b0c5baf-ca68-4751-b9b1-d7b8b9ce78e1,50,1,1,0,1,2
d966cc07-5a5a-45cd-a66f-79e61442eb8f,50,1,1,0,1,2
b3c351d9-d419-4724-8b5f-380287bbd7a7,50,1,1,0,1,1
baa18ae7-7fd2-420f-9983-88da0bdf04ec,50,1,1,0,1,2
80769101-c6ef-4368-ae71-07e33b720dbd,50,1,1,0,1,1
239a6673-96dd-46fd-a0ea-e7030407405a,50,1,1,0,1,2
33223922-76fe-4c25-a2b1-a76284a255a7,50,1,1,0,2,4
7b1b9641-900a-4160-b9c5-487f314f627f,50,1,1,0,1,2
5d4e1292-65c9-459a-b425-e02d376d3af4,50,1,1,0,1,2
8f0fb34d-4688-4d40-a28b-61a827a5e42c,50,1,1,0,2,4
ded7ed95-0578-4c85-bae7-a2799f25632f,50,1,1,0,1,2
5b5a01f4-d74b-436f-8a21-3b4efadaee89,50,1,1,0,1,2
2cd9bf42-ca7b-43f7-9999-79d64705663a,50,1,1,0,1,2
9cdf95b2-8143-4be6-98aa-ef5de0d271c9,50,1,1,0,1,2
481543b3-ba7e-4e44-93ed-952dcd70e45c,50,1,1,0,1,2
1569cfb5-e454-48d0-8c05-2f7f104105c6,50,1,1,0,1,1
336604ad-f710-44c9-bb21-91d75b2725d3,50,1,1,0,1,1
302ac3e8-5a0d-44d9-8186-0bba07679e82,50,1,1,0,1,1
a0474e9d-2e22-4094-8fb0-8f55c4c1183f,50,1,1,0,1,2
