bin,machine_gpu
0,28.291398703858384
1,49.30573712085586
2,61.41070359442114
3,75.16819153132852
4,83.72196685288361
5,90.37855057701292
6,93.81950423726948
7,96.58129483496045
8,101.32659996911251
9,103.23999270312198
10,104.87043048414439
11,106.18915530282517
12,107.33564391831739
13,107.98285442711999
14,111.30363975595479
15,112.29879493780389
16,113.57070957654817
17,114.93791865816377
18,116.64675441183364
19,119.97379241521382
20,122.63185939024606
21,127.89852121317277
22,129.71202111273092
23,130.3376667031904
24,130.92842512584036
25,130.94861610423646
26,131.57797296226366
27,132.73775284407196
28,133.4042821733594
29,134.77323797198613
30,135.07500398687407
31,135.85611487822243
32,135.9316659179423
33,136.4750416496687
34,136.71762470332388
35,137.1114341135915
36,137.8225534892942
37,138.43489718775407
38,141.0138431826415
39,141.70590796749582
40,143.00930011747386
41,143.08307482358688
42,144.43492449937958
43,144.6752632919288
44,145.16137148070658
45,146.0622238564071
46,146.27392417216564
47,146.67344687207185
48,146.55235333962534
49,146.93779879196435
50,148.46037189012154
51,151.54006371444225
52,151.90952570877678
53,152.72232190570634
54,153.01510692676473
55,155.8107096057689
56,156.30955109843987
57,157.93252958594954
58,158.038830144765
59,159.1471912873512
60,159.71421637301492
61,159.67850600560737
62,159.7796119949401
63,161.08779362565355
64,161.237315434177
65,161.38212617951802
66,162.68248767113113
67,162.47202098549045
68,166.4579968675195
69,169.02379896535908
70,169.60631937515768
71,170.33775959807218
72,171.34321721883893
73,172.501794959912
74,179.2117825033318
75,179.23615883211167
76,182.84579998890908
77,189.87114726379002
78,191.25014204100418
79,191.25612790249136
80,193.39216383692187
81,193.15254501752867
82,193.69185350556128
83,193.55456090737485
84,193.53199338920612
85,193.26265927435804
86,193.50449188483321
87,193.6061514116532
88,194.196415570015
89,194.22709427085903
90,194.581398043096
91,196.13985516701985
92,195.91886487350058
93,195.69591971392927
94,195.46473828520752
95,195.14137173054172
96,194.9553678418571
97,194.7844065466732
98,194.70806817489552
99,194.62695963835003
100,194.40958116300482
101,194.14424758644054
102,193.9850099942492
103,194.61943674650308
104,194.8248381989521
105,195.97640811017695
106,196.2343881385254
107,196.1614121523168
108,195.99945630623614
109,196.2366928464583
110,196.5848630507199
111,195.74946926210185
112,196.16039383313483
113,196.42426928219044
114,196.23601358647466
115,196.22359765971837
116,196.7824173064048
117,198.48821816192185
118,198.60266808053797
119,200.83194268380043
120,200.79570233375082
121,201.5301353971933
122,201.25243454852256
123,201.19114095337355
124,200.96447349173016
125,200.87411962591835
126,200.97078267203761
127,201.05929506551874
128,201.2642029735161
129,201.1094564011294
130,200.92143142289345
131,200.92212716260204
132,200.82967418415217
133,200.54188277427372
134,200.16253308390472
135,199.81523362966286
136,199.40402261450396
137,199.2829854470407
138,199.10997741968526
139,198.8866184559004
140,198.68288187764585
141,198.49612322464645
142,198.5009314909669
143,198.75104442778186
144,199.15601677057433
145,198.96400871266184
146,199.26636135168664
147,199.11286728426032
148,198.91243404757552
149,198.71428412446195
150,198.46207316787726
151,198.80207484180502
152,198.65431794080328
153,198.59718925568652
154,198.4380323494797
155,198.10835569793932
156,197.96727969433155
157,197.8655959219496
158,197.77629965468742
159,197.69713902038242
160,197.6729183221705
161,197.55168543807315
162,197.42982661135525
163,197.37820433339908
164,197.17237168605217
165,196.9584427029186
166,197.64620404158623
167,197.52815267565433
168,197.42610615555947
169,197.33900949900595
170,197.1940887404665
171,197.00315388093816
172,196.66820852182775
173,196.55081672666537
174,196.4183555334896
175,196.4059748301756
176,196.2976167809612
177,196.23925572597085
178,196.30470488568784
179,196.5254345427025
180,196.4040732522884
181,196.1763560048874
182,196.1650699015392
183,196.1776588796889
184,196.0835336754743
185,196.08466283404098
186,196.20513838885938
187,196.28939300983
188,196.36447323039607
189,196.41872897445714
190,196.4523587276419
191,196.5636568562584
192,196.61303336463163
193,196.60253541399757
194,196.6210729722997
195,196.80967006906218
196,196.78226748949322
197,196.72282747667626
198,196.66622349265356
199,196.63670570112563
200,196.77456387530006
201,196.96816938834138
202,196.9846775615339
203,197.08335372853776
204,197.0296679136303
205,196.75967894885548
206,197.9483836837596
207,197.97146836530322
208,197.98607718402354
209,198.87343381246254
210,199.52904900976827
211,199.65696948213179
212,199.716839915983
213,199.6473571512721
214,199.55212618422362
215,199.82464797903125
216,200.0586038569432
217,200.25251044369966
218,200.28826490542707
219,200.3678020895921
220,201.48039085359633
221,201.89863391683627
222,202.67260583114614
223,202.36345188327078
224,202.00682753894037
225,201.85966960501904
226,203.39242879397784
227,203.47389760923008
228,203.4579431695215
229,203.55025534771295
230,203.712982425848
231,203.6920023162277
232,203.78790220470515
233,203.9114813800907
234,205.2095263319482
235,205.31912101740497
236,205.34962694100724
237,205.40662344006077
238,205.47994688141833
239,205.53305923272444
240,205.57881273404303
241,205.56801258431406
242,205.42674583195887
243,205.38831306667112
244,205.34436508837072
245,205.25053167857695
246,205.2290260384869
247,204.8453189040108
248,204.73323907217656
249,204.5170893286379
250,204.45446647415616
251,204.3645837377585
252,204.4169599702321
253,204.45473928618
254,204.3937334816878
255,204.23640247226123
256,204.17465224081005
257,204.0409295268718
258,204.07858729401002
259,204.22814797345507
260,205.23253812198905
261,206.23571516432133
262,206.26158615350727
263,206.15750649607526
264,206.0279398864965
265,205.8703706180445
266,205.7898253354689
267,206.18313969927644
268,206.41556935170604
269,206.41220071370637
270,206.42828184215483
271,206.03160698174509
272,205.76645089563002
273,205.90040665539937
274,205.95736697952935
275,205.95985991544325
276,205.81924755166398
277,205.905844984185
278,205.7960765423017
279,205.77318296094427
280,205.67358962343758
281,205.50675631452677
282,205.56371601118556
283,205.60145317144662
284,205.5178116509142
285,205.45624753736092
286,205.46000971731195
287,205.47929308049655
