bin,machine_gpu
0,23.411057993732012
1,37.10952799699203
2,58.31991027671523
3,71.13431125496159
4,77.48967959764475
5,81.85119024693404
6,83.68706531813253
7,85.32487818284697
8,87.78792488206338
9,95.6702992050355
10,103.29520837318054
11,104.49166940538477
12,106.59785497015996
13,109.56319917514587
14,111.27789498700072
15,111.38554959107897
16,112.32536794484666
17,112.83167947494744
18,116.5915594936245
19,116.87869870602638
20,118.93500186000682
21,120.54465140446116
22,122.79913780535284
23,125.21565308355203
24,128.57016755990887
25,132.15276810838273
26,132.86271678698816
27,133.82061184736517
28,134.0401834082567
29,137.89979075753314
30,139.18719445292467
31,141.82979162534738
32,142.14259460638777
33,142.97957058638826
34,143.9189027539034
35,145.59498642008722
36,147.80288693323612
37,149.44046740010964
38,149.48292173062669
39,149.52471713598797
40,149.43703211661034
41,152.23561328298462
42,152.90122914879657
43,153.2537931564433
44,153.33007185738737
45,153.26119356221736
46,153.86782085348082
47,153.7538057967341
48,153.7502789260185
49,162.03724930839545
50,161.97082584261955
51,166.38831206414653
52,168.8286651299378
53,168.5323633644509
54,169.00857879473355
55,174.14460718933103
56,174.76951906837542
57,178.48513849033102
58,179.54222966599346
59,181.02451807396164
60,180.92544136009442
61,184.43300359262878
62,185.12427299486026
63,185.44988080022773
64,185.21314234728672
65,186.14471877783447
66,185.93538021347592
67,185.8560547826817
68,186.0070750220313
69,186.13897956249943
70,186.16245803734262
71,186.22423103337007
72,186.16752715771722
73,186.1300421738863
74,186.116967519448
75,185.8738433980774
76,185.7004392230437
77,185.53298092234036
78,186.09509412419092
79,185.84038279267847
80,185.60016497852394
81,186.43416342100176
82,186.79966662798
83,187.0738250885933
84,186.99594382747205
85,186.86468896897418
86,186.7287153235269
87,186.6266916640494
88,186.54350205131195
89,186.05429960009582
90,186.14967744873297
91,186.28621728485976
92,186.1988721214698
93,186.35135334906533
94,186.4171735706157
95,186.58354362742224
96,186.8174581502354
97,186.57907966794028
98,186.21920251287665
99,186.47005411848934
100,186.71453264608928
101,187.12845048781074
102,187.0529316743414
103,186.96404504217796
104,187.05975879919012
105,187.6917136482451
106,188.5489629057577
107,188.69267078579696
108,189.47444858039793
109,189.41767729017937
110,189.33169949686996
111,189.0939887351689
112,190.64337814510148
113,191.13270277708318
114,191.13322809368975
115,191.045541886941
116,190.98735925216587
117,190.8757747493779
118,190.95779809344396
119,190.89595980579432
120,191.91283085030494
121,191.79908927521402
122,191.71801389172305
123,191.63127567784883
124,191.61098802644605
125,191.62289329161513
126,191.62760396234333
127,191.59181846939939
128,191.3731520158491
129,191.22829773557072
130,190.91190901319493
131,190.86765929833626
132,190.59779853277294
133,190.47121593760153
134,190.42863713629845
135,192.1038048680516
136,192.28637755433218
137,191.99573719436827
138,192.26636795402004
139,192.3226461401415
140,192.31785153065493
141,192.39898803664218
142,192.31276843035383
143,191.85613034684465
144,191.671608119365
145,191.44642750850562
146,191.28156308607473
147,191.09990474247505
148,192.09469012166497
149,191.6749262121728
150,191.8583412261992
151,191.85122841127665
152,191.82163659344354
153,191.74292551588672
154,191.9360951419868
155,191.40926762153333
156,191.17828370301862
157,192.37524272179567
158,191.92762174003963
159,192.23263691444978
160,192.12667421924863
161,192.12328378026473
162,191.92117174375812
163,192.16758477317973
164,192.4742936054024
165,192.37834823766238
166,192.12288762055837
167,192.3190329919371
168,191.9577274878155
169,191.77124773903876
170,191.51411517942068
171,191.2400388574489
172,191.17382192559356
173,191.1074482136838
174,191.0164773980138
175,190.8585505023918
176,190.68161717103965
177,190.62941472332886
178,190.54564602848632
179,190.39827768485185
180,190.3638182307029
181,190.23174977141855
182,190.14968315461624
183,190.0428547071243
184,189.96749706198364
185,189.80694602108912
186,189.67350322628945
187,189.5667031326871
188,189.42243111858852
189,189.23785791137288
190,189.1006858672649
191,188.96944130423537
