bin,machine_gpu
0,11.560776610141001
1,17.764067179602442
2,26.965492956556425
3,31.79453985804788
4,42.076469051478576
5,47.598985844115624
6,50.33652009651936
7,57.555163531087075
8,62.21871802275797
9,64.75516430929683
10,69.61300075969322
11,71.40826673822903
12,74.45440342842652
13,74.64539597055034
14,78.02767486761306
15,82.73461204984693
16,85.32436422592153
17,86.28712544975868
18,87.14652192623198
19,90.76432813870484
20,97.30482621161896
21,98.10070531481976
22,101.14210639613042
23,102.92250296520217
24,103.21248083697196
25,107.59629230032836
26,109.20088306148325
27,110.0831196282096
28,110.52901155550805
29,110.46520546254395
30,110.46237268450074
31,110.37136058944104
32,111.15409504798865
33,112.22524434015914
34,112.675357462785
35,114.79911924747516
36,115.21336287681363
37,115.37873063304151
38,117.05158722890037
39,117.55611581929912
40,117.47487260835949
41,119.49527026486057
42,119.50778221527794
43,124.7649716669921
44,124.86380823514415
45,125.68798047609135
46,128.89782361916104
47,128.87812845822472
48,128.97264069468753
49,129.92796116037195
50,129.9783950677979
51,130.12259649601026
52,130.53435497076268
53,131.38099635889483
54,131.41525056806358
55,132.17019280797572
56,132.31019064147273
57,132.37579576942434
58,132.46238676336074
59,132.550877005919
60,132.55184015659725
61,133.46732453768797
62,133.58555208574808
63,133.68813889842255
64,133.7773981512325
65,134.06904089191093
66,134.1993495463337
67,134.26570035417367
68,134.6349439289688
69,135.64215230846924
70,138.06391365247507
71,137.81836121967
72,137.8095381687508
73,138.7095018426718
74,138.50481987541187
75,138.73645078385903
76,139.20590836567953
77,139.26829111359476
78,139.2557590723552
79,139.03400482446835
80,139.26782506877097
81,139.2868489333
82,142.8782878025055
83,142.67695441227008
84,142.6447497358367
85,143.58374256807545
86,144.11184023732568
87,143.9811721269238
88,144.82159639704273
89,144.80318707026228
90,144.91287798749667
91,145.227378215389
92,144.98396149779907
93,146.14032696883092
94,146.07255075782334
95,145.93786385247768
96,145.83544232671431
97,145.86544692841642
98,145.94458327206524
99,145.97661476875768
100,146.08301575262715
101,146.7024543688698
102,146.72515358287504
103,146.74673161415708
104,146.36262517255304
105,146.8260701576715
106,147.00987072923297
107,147.19665162457085
108,148.21162714039554
109,148.07693519204003
110,148.17475802792188
111,148.63623834027294
112,148.7144968058337
113,149.68813282231633
114,149.81839159537031
115,151.14063990123012
116,151.076286372767
117,151.0967400095855
118,151.11795583906385
119,151.03112210603285
120,150.97135952980392
121,151.72887266577047
122,151.881660572917
123,151.91534756564735
124,151.854820290536
125,152.06383536815878
126,152.21862154978876
127,152.37353356715892
128,152.45136170025233
129,152.98048426161452
130,153.40888926925317
131,154.53367596268959
132,154.21159483972758
133,154.19796196005115
134,153.9302238065387
135,153.566409296292
136,157.95537116202408
137,157.56841383889014
138,157.14904717770503
139,157.20043211447276
140,157.25473908834124
141,157.11154191483143
142,156.83483858774903
143,156.4828009644538
144,156.06406893508571
145,156.97656490172503
146,156.91408714464197
147,156.93880331982578
148,157.02109203143272
149,157.43073712637636
150,157.3511802241799
151,157.0080911338317
152,156.92376700841785
153,156.6404579358178
154,156.86977519539093
155,156.66702231122312
156,156.37905375402727
157,156.11228076169957
158,155.7669217042419
159,156.01033119453493
160,155.81541718614167
161,156.11850825110065
162,156.8502901513453
163,157.1121853942363
164,157.68990793364952
165,157.71383586060654
166,157.2657458910746
167,157.187152351062
168,158.0137382186477
169,159.35919026579384
170,159.9181956953524
171,159.82479777871828
172,159.95532310792413
173,159.74710134125567
174,159.51804169866998
175,159.7181207166695
176,159.38133685609628
177,159.4457864502814
178,159.23559875721122
179,159.10757914425534
180,158.95992096965503
181,159.83683903658175
182,159.82304316987765
183,160.4136363515434
184,160.89679797959602
185,160.7667953434662
186,162.4646298768938
187,162.5651739933403
188,162.60118797783423
189,162.5839342558868
190,163.84032926583086
191,163.4382316496996
192,163.20620334316155
193,163.1363465532841
194,163.06532790186193
195,163.16384519122184
196,163.0797457298483
197,163.32734985199528
198,163.0401766328856
199,162.8318874226131
200,162.79217545662448
201,162.74163014598665
202,162.62891916273563
203,162.59776685383645
204,162.62939043279007
205,163.47159809860298
206,163.4519385696684
207,163.65008125369565
208,163.14415347892825
209,162.92422883557563
210,162.8738761574441
211,162.77850307454136
212,162.7079299923488
213,162.73859143649335
214,162.79946257813987
215,162.8954086612206
216,162.96340296979767
217,162.6448782827727
218,162.4415180592482
219,163.4372882722537
220,163.38733578735042
221,163.45668861323682
222,163.526187238016
223,163.54692501708013
224,163.49750192858218
225,163.61536194260083
226,163.71378979159198
227,163.67863013124384
228,163.4556217422229
229,163.39448869995
230,163.3343893701789
231,163.241372146185
232,163.29897401483854
233,163.59906769255048
234,163.6443544541883
235,164.50180795072316
236,164.55221686793357
237,164.6952270183595
238,164.73219267931069
239,164.71160683766544
240,164.58366859181683
241,164.67519463224545
242,164.77951540925767
243,165.06076596677207
244,165.10541326167606
245,165.6257515709847
246,166.09925800668023
247,166.27569004398364
248,166.36298791859414
249,166.40131680904614
250,166.38109136929043
251,166.45670863043483
252,166.34147820841028
253,166.46248165173816
254,166.4344851585974
255,166.35562801742665
256,166.24621588469572
257,166.59499284096168
258,166.96857257805465
259,166.94436329900222
260,167.28283175033658
261,167.54602846948922
262,167.59526130026634
263,168.2392115975821
264,167.5062421764286
265,167.2760674692421
266,167.20075080063745
267,167.26074813962242
268,167.46020406772266
269,167.3815662328334
270,167.27395954734106
271,167.80726289341678
272,167.952283741363
273,168.03219837499364
274,168.02360739586868
275,168.24462287420533
276,168.36371204240763
277,168.42814692149057
278,168.63078143086997
279,168.72488702828724
280,168.91700248215554
281,169.1111369647249
282,169.66294534981333
283,169.87197459115305
284,169.85740925758165
285,169.89411140531757
286,170.00899341118634
287,169.98698479283684
