bin,machine_gpu
0,11.919080629096197
1,19.3445220548776
2,34.126369019594954
3,38.64649281888765
4,49.013307652832275
5,61.870937464629336
6,67.66721851851322
7,71.73112442950598
8,74.48805314708717
9,77.75010702650629
10,77.5825354057432
11,81.95992345057176
12,82.94195095403278
13,83.45656929343266
14,87.72047698114946
15,89.25624377769714
16,89.72035155564521
17,90.9263392154823
18,94.15939993008702
19,102.06780496863352
20,103.3792917638511
21,104.30159928098116
22,105.2201849524591
23,106.36916077500848
24,106.58923586423988
25,107.52329080209591
26,109.06143001642286
27,109.28118504351009
28,109.88060452812215
29,111.0918608784575
30,111.65935667288831
31,111.7329543275089
32,112.55508118805176
33,112.62258304287099
34,113.66593465202875
35,114.48307931921738
36,115.0089416636742
37,122.69532868908941
38,122.88672052424228
39,127.34050350964522
40,127.13360041664289
41,127.78067761037025
42,128.6036665756858
43,129.492698756627
44,130.89646619120006
45,132.3716155075672
46,132.59265114232036
47,132.8236768853547
48,133.2056558176995
49,133.2909287631428
50,133.487811329606
51,134.274918222132
52,135.85733823694932
53,136.53973616039758
54,136.89311106834074
55,138.06861978944264
56,138.53315899653143
57,139.13766405207926
58,139.617033673978
59,139.58113025939855
60,140.17401238638737
61,140.81620517909474
62,142.5401998695813
63,142.6432919341938
64,142.76279981952993
65,143.61625626695604
66,143.63341595066055
67,143.90977549777116
68,145.15972669143085
69,148.34091504629333
70,149.12029408949525
71,152.98016387462977
72,152.9556913272298
73,152.85909630313176
74,153.40318846827202
75,153.92267625116432
76,153.960198872016
77,155.08942862059445
78,155.42678375328137
79,156.56717833664368
80,156.2465093448811
81,156.45170491474764
82,156.68699603045528
83,159.2048261651462
84,160.19715738814148
85,160.25249061685685
86,161.23321819172878
87,162.56370246503946
88,162.38352987275516
89,164.1604440600124
90,164.3332898018778
91,164.5380423548212
92,165.02411321119544
93,165.36310403989842
94,165.49736287835657
95,167.22311933809883
96,167.12976554159422
97,167.24603823852263
98,167.96165848682207
99,167.92798872099652
100,168.0783964953063
101,168.3153350713505
102,168.51096792618955
103,168.71255724820153
104,169.5981596436149
105,169.688018903295
106,169.99049614850358
107,170.30411604304115
108,171.48342429784873
109,171.49158057490902
110,171.53892696844656
111,171.51154949453664
112,171.47858808265136
113,171.44947142864123
114,171.5333917823858
115,171.5201611421745
116,172.15978291489293
117,172.2669928985295
118,172.4771934166333
119,172.31505542684715
120,174.9206289065031
121,176.54653045831935
122,176.68602080873677
123,176.72240875579467
124,176.76125937094483
125,176.89518031528453
126,176.73838848312062
127,176.70720470070495
128,176.52721231808533
129,176.57760327917381
130,176.97140873809892
131,177.2205828462424
132,177.31990787951221
133,177.5760474232705
134,177.3904804519867
135,177.4461887141552
136,178.2290698350916
137,178.26011663475575
138,178.47877857810937
139,178.3996132267583
140,178.31750420167685
141,180.95560612651258
142,180.8762180481181
143,180.75729675782912
144,180.86161426850182
145,180.85566110615534
146,180.8519167694575
147,180.94916020913448
148,181.1635195126898
149,180.9872215689272
150,180.88923987067363
151,180.81276969386104
152,180.77911935999015
153,181.06833272522158
154,181.17174242035304
155,181.2362048766548
156,181.0524316705745
157,181.19009095071027
158,181.00653964275213
159,180.87592813025353
160,180.84231983792807
161,181.26218801695964
162,181.42590336486282
163,181.4687529091506
164,181.9108654226709
165,183.07123039462368
166,182.97938278466327
167,183.02729961367478
168,183.0718488515384
169,187.85681756032542
170,187.71978711599996
171,187.81245264983724
172,188.15255567220535
173,188.27905117655848
174,188.97358525051968
175,189.79167230655403
176,189.46414309335094
177,189.3196693599459
178,189.3292313114009
179,189.21253394462062
180,189.4165324576047
181,189.6383643133944
182,190.6128336952565
183,190.76704813998896
184,191.3972813297172
185,191.5220880557353
186,191.57530955645316
187,191.64152079559045
188,191.75139092566576
189,191.7514798241964
190,192.28471771967358
191,193.10127134035625
192,193.24715876674844
193,193.2551920279003
194,196.7913311676969
195,196.9474400586441
196,197.08239440808848
197,197.16630902818173
198,197.37891679165915
199,197.6554879053774
200,197.7574630518179
201,198.74718984561088
202,198.9121836822867
203,198.98800989548326
204,199.1324244246458
205,199.29075207982197
206,199.43022771447593
207,199.33328152621087
208,199.5557086917193
209,199.74136192232885
210,199.9173386903917
211,199.71800306824497
212,199.65425487718593
213,199.87965388656673
214,200.1272805293974
215,200.2274823974457
216,200.59922468908354
217,200.7486884410891
218,200.63499760036183
219,200.65561648545642
220,200.97056904186493
221,201.2123488576514
222,201.8696677739288
223,202.17876119199505
224,202.2396661373104
225,202.71776959205621
226,203.0126946725855
227,203.4350685347736
228,203.54869293612762
229,203.9643125272205
230,204.21779406512056
231,204.3854129674576
232,204.51513012983014
233,205.3460948895826
234,205.71853373032798
235,205.91890250675849
236,206.12251047063197
237,206.47773770300233
238,206.77355892603114
239,206.85677774871758
240,206.75005701099252
241,207.0713050434909
242,207.0727436331927
243,206.89884773675075
244,206.88021432069675
245,208.01695175092303
246,207.80445550766686
247,207.76474694535898
248,208.09461986153462
249,208.2722921089039
250,208.35302337119086
251,208.3891908188948
252,208.4852284206307
253,208.66335789556936
254,208.85792724892949
255,209.87023279337643
256,209.99774351665238
257,210.1750772573382
258,210.21651372199415
259,210.46526615894442
260,210.62808977097274
261,210.96056343782118
262,211.0254229271869
263,211.0916197509546
264,210.98086954642625
265,210.99461386380847
266,211.085114974072
267,211.27539026481526
268,211.74947311610157
269,211.77339799703867
270,211.92808903015606
271,212.0579257963097
272,212.26213866725536
273,212.22260741768454
274,212.4254886887028
275,212.52356816364176
276,213.08001955307503
277,213.0652814813728
278,213.0647213735931
279,213.07926273525456
280,213.95685146113402
281,213.95538125383655
282,214.01927651112027
283,213.7501519201694
284,213.75108947827246
285,213.7096938892201
286,213.86485569320692
287,213.91354667766478
